,user.name,created_at,id,full_text,display_text_range,source,retweet_count,favorite_count,user.followers_count,user.friends_count,user.statuses_count,partido,tipo de post,hashtags
1061,PODEMOS,2021-02-27 09:55:36+00:00,1365601467042828290,"📽 @PabloIglesias entrevista al historiador y periodista @gilestremlett.

👉Cuenta con publicaciones como ‘España ante sus fantasmas’ (2006) y ‘Las Brigadas Internacionales: Fascismo, libertad y la guerra civil española’ (2020).

Mañana a las 20h⤵️
https://t.co/qs1pkWB5OW https://t.co/76H30J6tbO","[0, 270]",['Twitter Media Studio'],310,538,1527308,22537,119337,PODEMOS,publicación,[]
1062,PODEMOS,2021-02-26 16:01:00+00:00,1365331036310294531,¡Solo Sí es Sí! ♀️ #SeráLey https://t.co/Eq3ENwZry7,"[0, 27]",['Twitter Media Studio'],324,735,1527308,22537,119337,PODEMOS,publicación,['SeráLey']
1063,PODEMOS,2021-02-26 14:02:30+00:00,1365301216528506882,"📽️ @AntonGomezReino destroza al racismo de VOX 👏👏

https://t.co/NweBAf8wJp","[0, 74]",['Twitter Web App'],501,1242,1527308,22537,119337,PODEMOS,publicación,[]
1064,PODEMOS,2021-02-26 12:13:14+00:00,1365273717480259590,"Hay a quienes les asustan los debates, pero de allí es de donde vienen todos los derechos y avances sociales. 

Sin debate no hay democracia. 👇

https://t.co/O80cBD0QCd","[0, 168]",['Twitter Web App'],138,306,1527308,22537,119337,PODEMOS,publicación,[]
1065,PODEMOS,2021-02-26 11:46:35+00:00,1365267010242895875,"El rey también debió rellenar su declaración a Hacienda con la fórmula ""siempre al servicio del interés superior de España"".","[0, 124]",['Twitter Web App'],554,1848,1527308,22537,119337,PODEMOS,publicación,[]
1066,PODEMOS,2021-02-26 10:52:33+00:00,1365253414356217857,"Hoy asistimos a dos noticias muy preocupantes. 👇

📽 @Jaumeasens en Rueda de Prensa. https://t.co/DHli5VnZBA","[0, 83]",['Twitter Media Studio'],247,415,1527308,22537,119337,PODEMOS,publicación,[]
1067,PODEMOS,2021-02-26 09:23:00+00:00,1365230876041256962,"Y más ""normalidad democrática"".

No nos dejan investigar las corruptelas del rey en el Congreso, pero debemos adularlo desde las tribunas.

Los que cierran filas con la monarquía sostienen su corrupción.

https://t.co/axR84keF8q","[0, 228]",['Twitter Web App'],401,752,1527308,22537,119337,PODEMOS,publicación,[]
1068,PODEMOS,2021-02-26 08:56:39+00:00,1365224245945597954,"Solo Sí es Sí. #SeráLey 

📺 #LaHoraRosell https://t.co/49SVR9uMNb","[0, 41]",['Twitter Media Studio'],162,332,1527308,22537,119337,PODEMOS,publicación,"['SeráLey', 'LaHoraRosell']"
1069,PODEMOS,2021-02-26 08:53:23+00:00,1365223425275535362,"Por esto necesitamos la Ley 'Solo Sí es Sí'. 👇

#LaHoraRosell https://t.co/sDvluw48U0","[0, 61]",['Twitter Media Studio'],164,310,1527308,22537,119337,PODEMOS,publicación,['LaHoraRosell']
1070,PODEMOS,2021-02-26 08:44:43+00:00,1365221241150451715,"📺 @VickyRosell: ""Después de ese concierto de Rafael, ese mitin de VOX a puerta cerrada con contagiados y partidos de fútbol, si nadie ve un ataque específico contra la manifestación del 8M y los derechos de las mujeres, es porque no quiere verlo"". #LaHoraRosell https://t.co/qiDIqHvk9z","[0, 261]",['Twitter Media Studio'],862,1721,1527308,22537,119337,PODEMOS,publicación,['LaHoraRosell']
1071,PODEMOS,2021-02-26 08:38:27+00:00,1365219665463701507,"📺 @VickyRosell: ""La monarquía nos representa en el extranjero, y el país se tiene que identificar con ella; Es por ello que deberíamos exigir transparencia, y esto no solo afecta al pasado, sino a la calidad de nuestra democracia actual"". #LaHoraRosell https://t.co/x4HjN5C7oZ","[0, 252]",['Twitter Media Studio'],194,402,1527308,22537,119337,PODEMOS,publicación,['LaHoraRosell']
1072,PODEMOS,2021-02-26 08:28:15+00:00,1365217100655190016,"📺 @VickyRosell: ""Este año toca a hacer caso a todas las recomendaciones, pero que nadie nos de lecciones desde la derecha de cuidar la salud y salvar vidas, porque somos quienes estamos sosteniendo la vida"". #LaHoraRosell https://t.co/m83M06rx3T","[0, 221]",['Twitter Media Studio'],326,735,1527308,22537,119337,PODEMOS,publicación,['LaHoraRosell']
1073,PODEMOS,2021-02-25 21:05:31+00:00,1365045283739033600,"""Este es el modus operandi de las cloacas mediáticas: esparcir bulos y mentiras, y cuando la justicia archiva toda y cada una de las demandas contra nosotros no pasa absolutamente nada y ningún medio se hace eco"".

📽️ @_PabloFdez_ en #EnLaFrontera496

https://t.co/hKNkeTjYj5","[0, 275]",['Twitter Web App'],266,460,1527308,22537,119337,PODEMOS,publicación,['EnLaFrontera496']
1074,PODEMOS,2021-02-25 20:56:55+00:00,1365043120023470093,"""Creo que hay que normalizar los debates en el seno del Gobierno porque se van a seguir dando en los próximos años y además son sanos porque de esos debates salen medidas que son buenas para la ciudadanía"".

📽️ @_PabloFdez_ en #EnLaFrontera496

https://t.co/PUr43x4bIy","[0, 268]",['Twitter Web App'],107,214,1527308,22537,119337,PODEMOS,publicación,['EnLaFrontera496']
1075,PODEMOS,2021-02-25 17:57:29+00:00,1364997961965535232,El derecho a una vivienda digna está por encima de cualquier consideración de mercado. https://t.co/78l3o71qTd,"[0, 86]",['Twitter Media Studio'],634,1190,1527308,22537,119337,PODEMOS,publicación,[]
1076,PODEMOS,2021-02-25 16:24:28+00:00,1364974554423123971,"El bien común ha de estar por encima de todo. 👇

https://t.co/uRig3iAHhM","[0, 72]",['Twitter Web App'],171,274,1527308,22537,119337,PODEMOS,publicación,[]
