,user.name,created_at,id,full_text,display_text_range,source,retweet_count,favorite_count,user.followers_count,user.friends_count,user.statuses_count,entities.hashtags,entities.urls,tipo de post,partido,id_str,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,favorited,retweeted,lang,entities.symbols,entities.user_mentions,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,possibly_sensitive,entities.media,extended_entities.media,user.entities.url.urls,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.entities.hashtags,quoted_status.entities.symbols,quoted_status.entities.user_mentions,quoted_status.entities.urls,quoted_status.entities.media,quoted_status.extended_entities.media,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,quoted_status.quoted_status_id,quoted_status.quoted_status_id_str
10,Criterio Propio 🤖 💙,2021-04-17 10:54:58+00:00,1383373413423599617,"@vicpiriz1975 @FeijooGalicia Ayuso, verá más que respaldada sus medidas, planteamientos, defensa de ideas, principios liberales, propios de la derecha, demostrará que se puede arrasar sin esconder, traicionar esas ideas, principios. Los mismos que todo el PP debería defender al unisono, a partir del 4M","[29, 303]",['Twitter for Android'],0,0,531,556,52062,[],[],mención,Partido Popular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Miguel Ángel 💜💜💜 🔻🏳️‍🌈◼️,2021-04-17 10:54:56+00:00,1383373406372962307,"@populares @IdiazAyuso Para el nivel que tenéis, entre el ""lanza huesos"" y el del ""Master falso"" si, impresionante que la IDA diga tres frases seguidas.... Jajajaja","[23, 164]",['Twitter for Android'],0,0,1046,1510,16821,[],[],mención,Partido Popular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Captain S-PAIN,2021-04-17 10:54:31+00:00,1383373302031273986,"@IgnazioRaggio Le acaba de decir a Iglesias “sabemos lo que pasa en tu casa” 
No estamos acostumbrados a un candidato así, hasta hoy el pp eran perritos falderos emasculados estilo Rajoy.","[15, 187]",['Twitter for iPhone'],0,0,2499,2461,64552,[],[],mención,Partido Popular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Johnny was a good man🇪🇦💚💚,2021-04-17 10:54:04+00:00,1383373189351305217,@mcyava @Motard8559 @populares Me parece que llegan tarde,"[31, 57]",['Twitter for Android'],0,0,3080,3132,53091,[],[],mención,Partido Popular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Franio 👑 🇮🇱 🔺,2021-04-17 10:54:02+00:00,1383373180702629891,"El @populares llegó a la Junta de #Andalucía y cumplió su palabra de quitar el peaje, ahora, el @PSOE de #Sánchez quiere volver a implantar peajes en todas las autopistas. A ver cómo lo vende la mafia mediática de ""Moncloa Press""
https://t.co/N2iwcuXPYU

https://t.co/30odo8KrMm","[0, 278]",['Twitter Web App'],0,0,3535,3207,116986,"[{'text': 'Andalucía', 'indices': [34, 44]}, {'text': 'Sánchez', 'indices': [105, 113]}]","[{'url': 'https://t.co/N2iwcuXPYU', 'expanded_url': 'https://www.larazon.es/economia/20210417/5ojg2pk2ebg2pcr7j3p4mnog74.html?utm_source=twitter&utm_medium=organic&utm_campaign=lrzn_org_Sa_13_45', 'display_url': 'larazon.es/economia/20210…', 'indices': [230, 253]}, {'url': 'https://t.co/30odo8KrMm', 'expanded_url': 'https://sevilla.abc.es/andalucia/sevi-moreno-reitera-compromiso-liberar-peaje-cadiz-cuando-presidente-junta-201808271327_noticia.html', 'display_url': 'sevilla.abc.es/andalucia/sevi…', 'indices': [255, 278]}]",mención,Partido Popular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Pelayus Gigia🏛️😸,2021-04-17 10:53:56+00:00,1383373152625913861,@sueldospublicos @CiudadanosCs @populares Portal gubernamental=inutil por definición.,"[42, 85]",['Twitter for Android'],0,0,55,186,1619,[],[],mención,Partido Popular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Jesús de la cruz 🖤🇪🇸🇪🇺🍊🐍,2021-04-17 10:53:18+00:00,1383372995058487303,"@JPV_Valseca @IdiazAyuso @Cs_Madrid Siempre es el PP, es curioso. 
Pero es una obligación de todos los candidatos sea favorito o no, a la confrontación de proyectos políticos.","[36, 175]",['Twitter for Android'],0,0,13642,15002,176046,[],[],mención,Partido Popular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Angie´s Spiral🔻,2021-04-17 10:53:17+00:00,1383372990457413637,"@barbaMaria20205 Lo del PSOE en Madrid es la muestra de su pacto de no agresión con el PP.

PPSOE son las manos izda y dcha de las elites en Madrid como centro de la red corrupta general e institucionalizada.

Si se levantaran las alfombras en Madrid casi todos los patriotas salían por patas.","[17, 293]",['Twitter Web App'],0,1,802,903,10566,[],[],mención,Partido Popular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Isabel Dáz Ayuso ᶠᵃᵏᵉ,2021-04-17 10:52:55+00:00,1383372899352866818,"@populares @IdiazAyuso Yo tenía la ""Operación Bicho"".

Gestionando.","[23, 67]",['Twitter Web App'],0,0,440,878,1353,[],[],mención,Partido Popular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Eduardo Loren García,2021-04-17 10:52:52+00:00,1383372883888459777,"🗳️ ""Madrid corre hoy el riesgo de convertirse en la capital de la ultraderecha en nuestro país. No solo por la posible inclusión de Vox en un hipotético Gobierno de Ayuso, sino por la infiltración del discurso ultra en el PP""
✍️El estreno de @Santi__Rivero
https://t.co/0WSoBXoTBv","[0, 280]",['Twitter Web App'],1,2,3985,2549,84656,[],"[{'url': 'https://t.co/0WSoBXoTBv', 'expanded_url': 'https://www.huffingtonpost.es/entry/4-m-votar-en-defensa-propia_es_60770815e4b01654bb79302d', 'display_url': 'huffingtonpost.es/entry/4-m-vota…', 'indices': [257, 280]}]",mención,Partido Popular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
