,user.name,created_at,id,full_text,display_text_range,source,retweet_count,favorite_count,user.followers_count,user.friends_count,user.statuses_count,entities.hashtags,entities.urls,partido,tipo de post
21,VOX 🇪🇸,Wed Apr 14 16:26:06 +0000 2021,1382369581788987400,El adoquín de la vergüenza. https://t.co/F3nprlwLzi,"[0, 27]","<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",1130,2682,438432,1259,55574,[],[],PSOE,publicación
22,VOX 🇪🇸,Wed Apr 14 15:40:25 +0000 2021,1382358087370211332,Definición gráfica de hipocresía. https://t.co/8vmGK58WPK https://t.co/cd2cegMNA9,"[0, 57]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",897,2026,438432,1259,55574,[],"[{'url': 'https://t.co/8vmGK58WPK', 'expanded_url': 'https://twitter.com/PabloIglesias/status/1382333424023797761', 'display_url': 'twitter.com/PabloIglesias/…', 'indices': [34, 57]}]",PSOE,publicación
23,VOX 🇪🇸,Wed Apr 14 14:21:06 +0000 2021,1382338127428263937,"¡Obrero y español! 

Los currantes saben que VOX es el partido que mejor les representa frente a la traición de la izquierda pija. 

El 1 de mayo saldremos a la calle con @solidaridad_esp para dar voz a los trabajadores de España 💪🇪🇸 https://t.co/MNHgZk1Z66","[0, 233]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1022,2752,438432,1259,55574,[],[],PSOE,publicación
24,VOX 🇪🇸,Wed Apr 14 12:59:57 +0000 2021,1382317704166711299,"⚡ Réplica de @Santi_ABASCAL a Pedro Sánchez tras conmemorar la fallida II República: 

""La II República fue un régimen criminal"". https://t.co/eyw471Z7Vd","[0, 129]","<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",2025,4234,438432,1259,55574,[],[],PSOE,publicación
25,VOX 🇪🇸,Wed Apr 14 12:26:02 +0000 2021,1382309168355418116,"No odian a VOX, odian a España. https://t.co/nOyxRgLpAi","[0, 31]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1511,3970,438432,1259,55574,[],[],PSOE,publicación
26,VOX 🇪🇸,Wed Apr 14 11:00:49 +0000 2021,1382287723474644994,"🔴 En DIRECTO | No te pierdas la réplica de @Santi_ABASCAL a Sánchez en el Congreso.

➡️ Síguelo en YouTube: https://t.co/MM3HlfxnTF

➡️ O en Twitch: https://t.co/YoepLbDPxl https://t.co/m61Fli4nJl","[0, 172]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",201,423,438432,1259,55574,[],"[{'url': 'https://t.co/MM3HlfxnTF', 'expanded_url': 'https://youtu.be/sxP57M7v6rk', 'display_url': 'youtu.be/sxP57M7v6rk', 'indices': [108, 131]}, {'url': 'https://t.co/YoepLbDPxl', 'expanded_url': 'https://www.twitch.tv/vox_es_', 'display_url': 'twitch.tv/vox_es_', 'indices': [149, 172]}]",PSOE,publicación
27,VOX 🇪🇸,Wed Apr 14 10:19:06 +0000 2021,1382277223508480004,"🎂 En VOX lo único que celebramos el 14 de abril es el cumpleaños de nuestro presidente @Santi_ABASCAL 

@monasterioR este año le dejamos que lo celebre contigo y los madrileños 😂

#FelicidadesAbascal https://t.co/yguv8RO0EC","[0, 199]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",500,1364,438432,1259,55574,"[{'text': 'FelicidadesAbascal', 'indices': [180, 199]}]",[],PSOE,publicación
28,VOX 🇪🇸,Wed Apr 14 09:27:37 +0000 2021,1382264267173466116,"Sí, una plaga de langostas.

Le ha faltado gritar: ""¡A las mariscadas!"".

Solo @solidaridad_esp defiende a los trabajadores de España. https://t.co/1DUZFXU6IT","[0, 134]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",448,1165,438432,1259,55574,[],"[{'url': 'https://t.co/1DUZFXU6IT', 'expanded_url': 'https://twitter.com/europapress/status/1381814399011151874', 'display_url': 'twitter.com/europapress/st…', 'indices': [135, 158]}]",PSOE,publicación
29,VOX 🇪🇸,Wed Apr 14 09:25:55 +0000 2021,1382263840159764483,"‼ @Santi_ABASCAL lleva al Congreso los adoquines que los terroristas callejeros de la izquierda tiraron a los simpatizantes de VOX en Vallecas:

""¿Qué ocurriría si respondiésemos de la misma manera? Iríamos a un enfrentamiento civil en el que no nos van a encontrar"".

⬇ HILO ⬇ https://t.co/O6DaxQpCYy","[0, 277]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2081,4244,438432,1259,55574,[],[],PSOE,publicación
30,VOX 🇪🇸,Wed Apr 14 07:34:17 +0000 2021,1382235747382669314,"🔴 En DIRECTO | @Santi_ABASCAL responde a Pedro Sánchez en el Congreso.

➡️ Síguelo aquí a partir de las 10:15 https://t.co/Chi2zsIvSR 

➡️ O en Twitch: https://t.co/YoepLbDPxl

¡No te lo pierdas! 💪🇪🇸 https://t.co/Ui3roXrIJ5","[0, 199]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",410,775,438432,1259,55574,[],"[{'url': 'https://t.co/Chi2zsIvSR', 'expanded_url': 'https://youtu.be/e4WxO4Bkb8Q', 'display_url': 'youtu.be/e4WxO4Bkb8Q', 'indices': [110, 133]}, {'url': 'https://t.co/YoepLbDPxl', 'expanded_url': 'https://www.twitch.tv/vox_es_', 'display_url': 'twitch.tv/vox_es_', 'indices': [152, 175]}]",PSOE,publicación
