,Unnamed: 0,user.name,created_at,id,full_text,display_text_range,source,retweet_count,favorite_count,user.followers_count,user.friends_count,user.statuses_count,entities.hashtags,entities.urls,partido,tipo de post
851,51,Esperanza Dotor,2021-04-17 11:04:47+00:00,1383375883474407424,"@Sikness1924 @mariteremoto @Alex72548885 Eso lo hace también el PP y muchos partidos nacionalistas. Ya he dicho que no me gusta Podemos y menos Pablo Iglesias, y este último por su forma de hacer las cosas, pero de ahí a comparar Podemos con Vox...","[41, 248]",['Twitter for Android'],0,0,40,99,197,[],[],PODEMOS,mención
852,52,SandraLuna,2021-04-17 11:04:45+00:00,1383375876948066304,Si el partido Podemos de Urresti está quemado porque su líder Luna Galvez está en investigación imagínense lo que debería ser Perú Libre de Castillo que su líder es Wladimir Cerron sentenciado por corrupción!!!!,"[0, 211]",['Twitter for iPhone'],0,0,1,54,10,[],[],PODEMOS,mención
853,53,MaycolCG,2021-04-17 11:04:27+00:00,1383375801316384778,"@GustavoBolivar Senador Gustavo, esa no es la forma.

Si realmente queremos cambiar el país, no podemos hacer lo mismo que ellos hacen.

Los niños se respetan, sean de la familia que sean","[16, 187]",['Twitter for Android'],0,0,10,339,1077,[],[],PODEMOS,mención
854,54,ًً🎫,2021-04-17 11:04:25+00:00,1383375791493312515,si podemos,"[0, 10]",['Twitter for Android'],0,0,126,241,2270,[],[],PODEMOS,mención
855,55,Julio Martínez Fontanilles,2021-04-17 11:04:24+00:00,1383375787596795908,@larazon_es Habrá mucho voto útil ciudadanos y podemos lo tienen muy mal para entrar en la asamblea,"[12, 99]",['Twitter for Android'],1,1,20,81,25381,[],[],PODEMOS,mención
856,56,Qrispal ن ✝️ 🇻🇦🇪🇸🇸🇦,2021-04-17 11:04:20+00:00,1383375771213783043,@Eligorricho @GregorioRCh @anarosaq @vox_es Aguado es capaz de pactar con el PSOE.,"[44, 82]",['Twitter for iPhone'],0,0,1329,1630,29120,[],[],PODEMOS,mención
857,57,𝓐𝓵𝔂𝓷𝓷𝓮.,2021-04-17 11:04:17+00:00,1383375757242630151,"@thcbookeater ¿De verdad, @thcbookeater? Qué detalle.

Es una pena que no ganarás, pero siempre podemos ir a tomarnos una copa de vino juntas. ¿Qué me dices?","[14, 157]",['Twitter for Android'],0,0,97,56,500,[],[],PODEMOS,mención
858,58,Albert Lesan,2021-04-17 11:04:16+00:00,1383375756756078596,@Sergi_Badia @RondeandoTV @Judithsalvat6 No podemos hacer directos por un problema con Youtube hasta junio,"[41, 106]",['Twitter for iPhone'],0,0,22869,7992,34509,[],[],PODEMOS,mención
859,59,RRmontoro,2021-04-17 11:04:16+00:00,1383375755200000012,"@jaestevezprado1 @Manu19786 @Gimnastico84 España ya ha tenido muchos gobiernos cobardes no podemos tener mas. Este gobierno se ha arrodillado ante golpistas, separatistas, filoterroristas, Marruecos y Gibraltar.","[42, 211]",['Twitter for Android'],0,0,288,464,6743,[],[],PODEMOS,mención
860,60,José Luis 6459756,2021-04-17 11:04:16+00:00,1383375753358675975,@javierpadillab @laincolora Ahora podemos  pedir   todo lo que van a cumplir  por un voto   jaja,"[28, 96]",['Twitter for Android'],0,0,1,11,462,[],[],PODEMOS,mención
861,61,BubaLu🍑,2021-04-17 11:04:13+00:00,1383375743229431815,Se creen más que nadie roncando cuando también podemos roncar y les brinco la cuica cuando me dé le gana 🥰💕,"[0, 107]",['Twitter for iPhone'],0,0,203,201,7336,[],[],PODEMOS,mención
862,62,Milagros Moreno,2021-04-17 11:04:13+00:00,1383375741920813073,@Lenin Ya estamos llegando a la meta de 2 millones de ecuatorianos vacunados y no podemos estar más que agradecidos con el esfuerzo y dedicación de su parte en el plan de vacunación,"[7, 181]",['Twitter for Android'],0,0,174,347,11130,[],[],PODEMOS,mención
863,63,Johnnery Aldana,2021-04-17 11:04:06+00:00,1383375714913710084,"@JoseAnt89939482 @mariaoropeza94 Ok amigo, llame como mejor le guste, siempre que exista respecto a la propiedad privada, libre empresa y economia de mercado (Capitalismo). Tengan cuidado con la gente de podemos y otros tantos de izquierda. No tienen buenas intenciones.","[33, 270]",['Twitter for Android'],0,0,142,2746,2031,[],[],PODEMOS,mención
864,64,Gr.🇪🇦,2021-04-17 11:04:06+00:00,1383375711826714624,"@PauloCutre @opiniondemalaga 
Se lo podemos preguntar directamente al panfleto.","[12, 79]",['Twitter for Android'],0,0,46,270,1140,[],[],PODEMOS,mención
865,65,DUK,2021-04-17 11:04:05+00:00,1383375709905719297,"@P3pe_fernandez @eltivipata Recuerdo como si fuera ayer; cuando la pareja de Malú, creó el término del “SANCHÍSMO” diferenciando el psoe de Sánchez, con el de Roldán, Felipe González, Susana Díaz,Chávez, etc.  ahora ya es tarde para volver a culpar a el Sanchismo de lo que hizo el viejo PSOE","[28, 292]",['Twitter for iPhone'],0,0,336,1187,29006,[],[],PODEMOS,mención
866,66,隻眼の王,2021-04-17 11:04:04+00:00,1383375706554441735,Hoy se juega la final de la Copa del Rey. Hoy podemos ganar uno de los dos títulos de esta temporada a los que optamos.,"[0, 119]",['Twitter for Android'],0,0,553,442,58001,[],[],PODEMOS,mención
867,67,Mariano Casado,2021-04-17 11:04:03+00:00,1383375700753752071,"📣📣UnidasPodemos impulsa, a iniciativa de ⁦@AUGC_Comunica⁩ , la tramitación de la PNL para la modificación del Código Penal Militar.  https://t.co/rdORx5xcyd","[0, 156]",['Twitter for iPhone'],2,1,3671,1091,30842,[],"[{'url': 'https://t.co/rdORx5xcyd', 'expanded_url': 'https://www.augc.org/actualidad/unidas-podemos-impulsa-iniciativa-augc-tramitacion-pnl-modificacion-codigo-penal-militar_20689_102.html', 'display_url': 'augc.org/actualidad/uni…', 'indices': [133, 156]}]",PODEMOS,mención
868,68,Telecentro Ayuda,2021-04-17 11:04:00+00:00,1383375689483644928,"@Rameseiscuatro @Rameseiscuatro te pedimos disculpas por la demora, ¿Podemos continuar nuestro contacto en este momento?","[16, 120]",['Yoizen ySocial'],0,0,66069,66371,625762,[],[],PODEMOS,mención
869,69,Miguel Huguet,2021-04-17 11:03:59+00:00,1383375685046063113,"@5d911e3b3547489 @JSancibri @PODEMOS Diferenciemos entre 1 y 2= 1+1 contribuyentes, PI e IM son dos. Si pagan su vivienda, tienen un chalet de 600.000€ por pagar, pero sólo la mitad del mismo, 300.000€ cada uno. A mayores tributa el resto del patrimonio. Por cierto, un plan de pensiones no es patrimonio ¡ups!","[37, 310]",['Twitter for Android'],0,0,160,252,491,[],[],PODEMOS,mención
870,70,Rafael Toledo,2021-04-17 11:03:55+00:00,1383375667018960897,"@WatchGates Es como una pegatina. Que pegue depende del adhesivo. Podemos cambiar el color, pero si el adhesivo es igual, pegará igual. No se si me explico","[12, 155]",['Twitter for iPhone'],0,1,1512,301,2676,[],[],PODEMOS,mención
871,71,Juan Pardo,2021-04-17 11:03:55+00:00,1383375665991282695,"El que Ángel Gabilondo, persona bastante suficiente en nivel académico se vea humillado por un plagiador que, además, el testaferro lo sabe, despeja todas las dudas, el PSOE es una dictadura vejatoria piramidal. Marlaska adiestra a mandos militares para un golpe de Estado. https://t.co/Ws6yMqijmD","[0, 273]",['Twitter Web App'],0,0,2041,2962,3484,[],[],PODEMOS,mención
872,72,Yotatsu,2021-04-17 11:03:53+00:00,1383375658940735495,"@NoSoyLaGente Creo que tenemos que poner en funcionamiento el Hiju y el Hiji, algunos podemos no sentirnos identificados como hijos, hijas ni hijes, yo por ejemplo me siento hiju.
🤣","[14, 181]",['Twitter Web App'],0,0,40,74,3646,[],[],PODEMOS,mención
873,73,El Chuck Norris,2021-04-17 11:03:50+00:00,1383375646257152004,@La_SER @RADIOIBIZASER Al final resultó ser un mitin de Podemos.,"[23, 64]",['Twitter for Android'],0,0,4,78,50,[],[],PODEMOS,mención
