,user.name,created_at,id,full_text,display_text_range,source,retweet_count,favorite_count,user.followers_count,user.friends_count,user.statuses_count,partido,tipo de post,hashtags,campaña
6,🇪🇸🏳️‍🌈 Miguel Ángel Bastenier,2021-04-27 23:57:46+00:00,1387194289134919688,"☝️💙🖋🖋 “EL PEOR ENEMIGO DEL SOCIO-COMUNISMO, NO ES EL CAPITALISMO ; ES LA REALIDAD” ( #MargaretTHATCHER  Ex Primera Ministra Británica 1921-2013 ) ⭐️⭐️⭐️⭐️⭐️☝️👇
#YoConAyuso #Libertad
.⁦@populares⁩ .⁦@PSOE⁩ .⁦@CiudadanosCs⁩ .⁦@PodemosCongreso⁩ .⁦ https://t.co/EylyMs0kOu","[0, 244]",Twitter for iPhone,0,1,447,1877,45837,PSOE,mención,"['MargaretTHATCHER', 'YoConAyuso', 'Libertad']",general
7,Maria Alejandra Requena,2021-04-27 23:56:50+00:00,1387194056518914055,#PanoramaDelDía Pedro Sánchez informó que dos periodistas españoles han sido asesinados en Burkina Faso https://t.co/aDtBR0TJQG https://t.co/Jii6GrPGIf,"[0, 127]",Twitter Web App,0,0,156161,266,38723,PSOE,mención,['PanoramaDelDía'],general
8,unocualquiera 🇪🇸,2021-04-27 23:56:11+00:00,1387193891351404544,@guille2702 @juanjodom @PODEMOS @PSOE @vox_es @populares @MasMadridCM Pues ocurre siempre 🤦‍♂️,"[70, 94]",Twitter Web App,0,3,106,173,7271,PSOE,mención,[],general
9,Kleinheiser,2021-04-27 23:56:06+00:00,1387193870115655682,"@OldArg1810 Políticos de bien. Ojalá el Partido Socialista hubiera gobernado el país en alguna ocasión, de los más liberales en la Argentina.","[12, 141]",Twitter for iPhone,0,0,80,108,1478,PSOE,mención,[],general
0,Ricardo Umbarila,2021-04-27 23:59:58+00:00,1387194843034800133,Salir a protestar es un derecho humano fundamental y el legítimo derecho a la rebeldía que tenemos los ciudadanos para manifestarnos en contra de los tiranos que nos gobiernan. #vivaelparonacional,"[0, 196]",Twitter for Android,0,2,867,902,11240,CIUDADANOS,mención,['vivaelparonacional'],general
1,Roberto M.,2021-04-27 23:59:47+00:00,1387194798331908100,@CiudadanosCs @BalEdmundo #FijezaYa a tod@s trabajador@s públicos en abuso. Lucharemos hasta conseguir lo que es justo y legal.Directiva 1999/70/CE y sentencia TJUE 19 marzo 2020.Tod@s junt@s hasta el final.#InspeccionYa @PSOE @PODEMOS @miqueliceta @sanchezcastejon @CiudadanosCs #FijezaYaEsConstitucional https://t.co/ydI21fFAAU,"[26, 305]",Twitter for Android,30,22,150,10,10151,CIUDADANOS,mención,"['FijezaYa', 'InspeccionYa', 'FijezaYaEsConstitucional']",general
2,José Andrés Ríos V,2021-04-27 23:59:43+00:00,1387194780740984832,@MLLACOUTURE No fue capaz el gobierno lo hizo unos ciudadanos https://t.co/H1jhCzwytH,"[13, 61]",Twitter for iPhone,0,1,749,2042,25634,CIUDADANOS,mención,[],general
3,Fran®️eporta,2021-04-27 23:59:41+00:00,1387194772633309190,Esta es la segunda parte del vídeo de los GN que agreden a unos ciudadanos no sé qué pasó con el vídeo llegó corto. https://t.co/klAUnPkgiK,"[0, 115]",Twitter for Android,37,15,18845,2470,14303,CIUDADANOS,mención,[],general
4,J Camus,2021-04-27 23:59:33+00:00,1387194740429533191,"@elespectador Que tristeza ver este país tan pobre sometido económicamente, afecta a los ciudadanos, no hay plata, se estresan, pobreza, hijos, por ende violencia intrafamiliar, es un círculo, lástima todo ese billete y lo que falta de años atrás, es una lástima la verdad Colombia fuese otra","[14, 292]",Twitter for Android,0,0,57,472,830,CIUDADANOS,mención,[],general
5,Coparmex Puebla,2021-04-27 23:59:29+00:00,1387194722968641542,"Candidato @IsaiasCarreraA2, los ciudadanos queremos conocer tu postura sobre los temas más importantes de la agenda legislativa de #COPARMEX; por ello te invitamos a sumarte al #RetoXPuebla  ¿Le entras? #ParticipoVotoExijo 🙋🏻‍♀️🙋🏻 #VotoRazonado 🗳️ @fernandotrevino","[0, 264]",Twitter for Android,0,0,12855,4184,12161,CIUDADANOS,mención,"['COPARMEX', 'RetoXPuebla', 'ParticipoVotoExijo', 'VotoRazonado']",general
